No.,CÓDIGO IATA,CÓDIGO OACI,AEROPUERTO,ESTADO,MUNICIPIO,CONCESIONARIO/PERMISIONARIO U OPERADOR,"GRUPO
OPERADOR PERMISIONARIO"
23,ESE,MMES,ENSENADA,BAJA CALIFORNIA,ENSENADA,SECRETARÍA DE LA DEFENSA NACIONAL,SEDENA
24,GDL,MMGL,GUADALAJARA,JALISCO,TLAJOMULCO DE ZUÑIGA,"AEROPUERTO DE GUADALAJARA, S.A. DE C.V.",GAP
25,BJX,MMLO,GUANAJUATO,GUANAJUATO,SILAO,"AEROPUERTO DEL BAJÍO, S.A. DE C.V.",GAP
26,GYM,MMGM,GUAYMAS,SONORA,GUAYMAS,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
27,HMO,MMHO,HERMOSILLO,SONORA,HERMOSILLO,"AEROPUERTO DE HERMOSILLO, S.A. DE C.V.",GAP
28,HUX,MMBT,HUATULCO,OAXACA,"SANTA MARIA HUATULCO, OAX.","AEROPUERTO DE HUATULCO, S.A. DE C.V.",ASUR
29,ZIH,MMZH,IXTAPA - ZIHUATANEJO,GUERRERO,ZIHUATANEJO,"AEROPUERTO DE ZIHUATANEJO, S.A. DE C.V.",OMA
30,IZT,MMIT,IXTEPEC,OAXACA, IXTEPEC,SECRETARÍA DE LA DEFENSA NACIONAL /  AEROPUERTOS Y SERVICIOS AUXILIARES,ASA / SEDENA
31,JAL,MMJA,JALAPA,VERACRUZ, XALAPA,"SERVICIOS AÉREOS DE VERACRUZ, S.A. DE C.V.",PARAESTATAL
32,LAP,MMLP,LA PAZ,BAJA CALIFORNIA SUR,LA PAZ,"AEROPUERTO DE LA PAZ, S.A. DE C.V.",GAP
