"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW"
"2024/04/18","00305.01","H","AL","43AL","FLAT ROCK","US","H1",30,30,"CONC","","NONE",,"","","","","PERI","OWNER","2011/10/12",,,,
"2024/04/18","00306.","A","AL","0AL5","FLOMATON","US","15/33",2200,100,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00308.1","H","AL","7AL8","FLORALA","US","H1",45,30,"CONC","","NONE",,"","","","","PERI","OWNER","2014/05/21",,,,
"2024/04/18","00308.5","A","AL","0J4","FLORALA","US","04/22",3197,75,"ASPH","GOOD","NONE",,"","","","","MED","","",,,,
"2024/04/18","00310.","C","AL","AL46","FLORENCE","US","02W/20W",6200,1200,"WATER","","NONE",,"","","","","","","",,,,
"2024/04/18","00310.","C","AL","AL46","FLORENCE","US","08W/26W",6500,1000,"WATER","","NONE",,"","","","","","","",,,,
"2024/04/18","00310.","C","AL","AL46","FLORENCE","US","17W/35W",11000,1100,"WATER","","NONE",,"","","","","","","",,,,
"2024/04/18","00310.1","A","AL","0AL9","FLORENCE","US","09/27",2200,50,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00310.14","H","AL","40AL","FLORENCE","US","H1",40,40,"CONC","","NONE",,"","","","","PERI","OWNER","2018/09/18",,,,
"2024/04/18","00323.","A","AL","0AL1","FOLEY","US","17/35",2640,70,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00323.23","A","AL","02AL","FOLEY","US","18/36",2000,150,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00323.24","H","AL","3AL4","FOLEY","US","H1",30,30,"CONC","","NONE",,"","","","","PERI","OWNER","2009/12/03",,,,
