id,latitude,longitude,source_ref,alt_name,local_ref,wikipedia,icao,wikidata,addr:housenumber,name:fr,addr:state,name:en,type,ref,gnis:feature_type,landuse,ele,gnis:feature_id,operator:type,addr:postcode,gnis:created,military,addr:city,website,name,source,note,name:ru,phone,gnis:county_name,addr:street,operator
334964380,40.0067482,-82.0141876,,,,,,Q49749233,,,,,,,,,,,,,,,,,Parr Airport,Bing,,,,,,
335062573,49.1416593,8.3951452,,,,,EDRI,Q20451516,,,,,,EDRI,,,99,,,,,,,,Sonderlandeplatz Linkenheim,,,,,,,Luftsportverein Linkenheim e.V.
335082417,47.8666414,37.1996598,,,ZC4W,,,,,,,Dobrovol'ye,,,,,,,,,,,,,Добровол'є,maps.aopa.ru,,,,,,
335304954,39.9768702,-6.9063946,,,,,LPMF,Q12693996,,,,,,,,,,,,,,,,,Aeródromo Municipal de Monfortinho,,,,,,,
335587295,26.6086482,104.9787721,,,,zh:六盘水月照机场,ZUPS,Q6654081,,,,Liupanshui Yuezhao Airport,,,,,,,,,,,,,六盘水月照机场,,,,,,,
335750806,39.6820593,-8.2531893,,Aeródromo Municipal de Ferreira do Zezere,LP71,,,,,,,,,,,,,,,,,,,,Aeródromo Municipal de Valadas,,,,,,,
335769252,51.3586195,12.6117779,,,,,,,,,,,,,,grass,,,,,,,,,Agrar-Flugfeld Machern,,,,,,,
335812923,22.7342766,58.5089066,,,,,,,,,,Ibra Airport,,,,,,,,,,,,,مطار إبراء,,,,,,,
336112741,38.78101,-9.1360051,,Aeroporto da Portela,,en:Lisbon Airport,LPPT,Q403671,,Aéroport de Lisbonne,,Lisbon Airport,,,,,114,,,1700-111,,,Lisboa,,Aeroporto Humberto Delgado,,,Аэропорт Лиссабон,,,Alameda das Comunidades Portuguesas,ANA Aeroportos de Portugal / VINCI Airports
336146807,38.7820661,-9.1301581,,Aeroporto Militar de Figo Maduro,,pt:Aeródromo Militar de Lisboa,LPPT,Q9586742,,,,,,,,military,,,,1700-109,,airfield,Lisboa,https://www.emfa.pt/unidade-21-aerodromo-de-transito-n-1,Aeródromo de Trânsito n.º 1 (AT1),,,,+351 218 505 500,,Quinta do Figo Maduro,
336183101,29.6106747,-96.0279576,,,,,,,,,,,,,,,,,private,,,,,,GHSA-Wallis Gliderport,,,,,,,Greater Houston Soaring Association
336418921,24.0637605,47.4077906,,,,,,,,,,,,,,,,,,,,,,,Al Kharj,ourairports.com,,,,,,
336506705,51.6318675,-111.9037146,,,,,,,,,,,,TC CEL4,,commercial,,,,,,,,,Hanna Airport ( CEL4 ),,,,,,,
336604467,23.3940924,50.0425706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336604492,23.2735057,50.4056524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336628614,52.3094094,-112.7548756,,,,en:Stettler Airport,CEJ3,Q3915805,,,,,,,,,,,public,,,,,,Stettler Airport,ourairports.com,,,,,,Town of Stettler and County of Stettler No. 6
336642879,42.0155397,101.0008278,,,,,ZBEN,,,,,Ejin Taolai Airport,,,,,,,,,,,,,额济纳旗桃来机场,,,,,,,
336738212,47.6693733,30.2982861,,,ZE5X,,,,,,,Troitske,,,,,,,,,,,,,Троїцьке,,,,,,,
336779893,-34.6924482,138.581135,,,,,YCVG,Q97700544,,,,,,,,,,,,,,,,,Calvin Grove Airstrip,Survey,,,,,,
336894156,42.1878148,87.1869846,,,,,,,,,,Uxxaktal Air Base,,,,military,,,,,,airfield,,,空军马兰村场站,ourairports.com,,,,,,68旅无人机试训
336901017,55.53804,49.3215993,,,,,,,,,,,,,,,,,,,,,,,Караишево,,,,,,,
336951130,-18.6278055,139.2336497,,,,,YGDS,,,,,,,,,,,,,,,,,,Gregory Downs Airport,Bing,,,,,,
337239630,48.8375504,8.5392671,,,,,,,,,,,,,,,470,,,,,,,,Segelflugplatz Schwann-Conweiler,,,,,,,Flugsportclub Pforzheim und Straubenhardt e.V.
337363039,14.4643928,-17.0134493,,,,,,,,,,,,,,,,,,,,,,https://www.saly-aerodrome.com,Aérodrome de Saly-Joseph,Microsoft Bing orbital imagery,,,,,,
337419164,-43.3868543,170.1796839,,,,,,,,,,,,,,,,,private,,,,,,Glacier Country Heliport,bing;estimation,,,,,,Glacier Country Helicopters Limited
337671414,-15.4711114,167.8346535,,,,en:Redcliffe Airport (Vanuatu),NVSR,Q7305560,,,,,,,,,,,,,,,,,Redcliffe Airport,ourairports.com,,,,,,
337807924,42.3507785,-92.8417678,,,,,,Q34966199,,,,,,,,,328,,,,,,,,Grundy Center Municipal Airport,,,,,,,
338007519,34.7179724,32.4886379,,,,en:Paphos International Airport,LCPH,Q1050707,,,,Paphos International Airport,,,,,,,,,,,,,Διεθνής Αερολιμένας Πάφου,,,Международный Аэропорт Пафоса,,,,
338077054,20.1522881,-96.945269,,,,,,,,,,,,,,,0,,,,,,,,Citrofrut Private Airport,,,,,,,
338298802,47.5491617,29.4291915,,,ZB8S,,,,,,,Okny Airfield,,,,grass,,,,,,,,,Окни,,,,,,,
338299498,53.8025036,-0.9170129,,,,en:Breighton Aerodrome,,Q7275199,,,,,,,,,,,,,,,,,Breighton,,,,,,,
338338780,-3.2102577,31.5467411,,,,,,,,,,,,,,,,,,,,,,,Tulawaka Gold Mine,,,,,,,
338389150,39.9157326,-104.8675394,,,,,,,,,,,,,,military,1531,,,,,airfield,,,Henderson Field,,,,,,,
338522789,45.8786475,-111.568711,,,,en:Three Forks Airport,,Q14704784,,,,,,,,,,806536,public,,,,,,Three Forks Airport,,,,,,,Gallatin County
338586831,-18.6946912,138.5277018,,,,,YALG,,,,,,,,,,,,,,,,,,Adels Grove Airstrip,ourairports.com+bing,,,,,,
338670520,50.9624419,6.3362589,,,,,,,,,,,,,,,,,,,,,,,Ultraleichtflug-Club Linnich e.V.,,"Grassland based, for ultra-light aircraft",,,,,
338679262,41.3338933,21.4470695,,,LW66,mk:Аеродром Мало Коњари,,Q12694527,,,,Prilep-Malo Konjari Airfield,,,,,620,,,,,,,,Аеродром Прилеп (Мало Коњари),,,,,,,
338682644,47.8421252,38.0971306,,,,,UKCN,,,,,Mospyne Airfield,,,,,,,,,,,,,Моспіне,,,Моспино,,,,
338915239,31.0335321,52.7865679,,,,,,,,Aéroport de Nord de Fars,,ٍNorth Fars Airport,,,,,,,,,,,,,فرودگاه شمال فارس,https://www.instagram.com/p/BQJF-mplRya/,,,,,,
339272537,40.8861936,-77.8163693,,,,,,,225,,PA,,,,,,328,1194130,,16823,,,Bellefonte,https://bellefonteairport.com/,Bellefonte Airport,,,,,,Snowbird Lane,
339341742,25.617044,110.4972606,,,,,,,,,,,,,,,,,,,,,,,兴安通用机场,bing,,,,,,
339760643,27.5913398,-7.5001396,,,,,,,,Base aérienne,,,,,,military,,,,,,airfield,,,Base aérienne,,,,,,,
339770889,-18.4454038,-49.2131495,,Aeroporto da Hidroelétrica,,pt:Aeroporto de Itumbiara,SBIT,Q13581296,,,,Itumbiara Airport,,,,,,,,,,,,,Aeroporto de Itumbiara - Francisco Vilela do Amaral,,,,,,,
