airport,minName,minEle,minRunway,minICAO,minIATA,minWebsite,minOSM,LAT,LON
http://www.wikidata.org/entity/Q196087,Kokkola-Pietarsaari Airport,85,01/19,EFKK,KOK,https://www.finavia.fi/en/kokkola-pietarsaari/,,23.139166666,63.720277777
http://www.wikidata.org/entity/Q197898,Luzamba Airport,2904,,FNLZ,LZM,,,18.049343,-9.115957
http://www.wikidata.org/entity/Q197915,Maquela Airport,3051,,FNMQ,,,,15.133333,-6.033333
http://www.wikidata.org/entity/Q197933,Faleolo International Airport,18,08/26,NSFA,APW,,,-172.008333333,-13.829722222
http://www.wikidata.org/entity/Q17595,Wagga Wagga Airport,724,,YSWG,WGA,http://www.wagga.nsw.gov.au/city-of-wagga-wagga/business/airport,,147.466388888,-35.165277777
http://www.wikidata.org/entity/Q17597,Walgett Airport,132,,YWLG,WGE,,,148.125,-30.033333333
http://www.wikidata.org/entity/Q17599,Warnervale Airport,25,,YWVA,,http://www.ccac.com.au/,,151.427777777,-33.240833333
http://www.wikidata.org/entity/Q17603,West Wyalong Airport,261,,YWWL,WWY,,,147.191666666,-33.936666666
http://www.wikidata.org/entity/Q17604,Shellharbour Airport,10,,YWOL,WOL,https://www.shellharbourairport.com.au/,,150.7844444,-34.565
http://www.wikidata.org/entity/Q17605,Young Airport,1267,,YYNG,NGA,,,148.248055555,-34.255555555
http://www.wikidata.org/entity/Q17606,Alice Springs Airport,1789,,YBAS,ASP,http://www.alicespringsairport.com.au,,133.902222222,-23.806944444
http://www.wikidata.org/entity/Q17607,Bathurst Island Airport,22,,YBTI,BRT,,,130.62,-11.7692
http://www.wikidata.org/entity/Q14302,Adelaide Airport,20,05/23,YPAD,ADL,https://www.adelaideairport.com.au,,138.530555555,-34.945
http://www.wikidata.org/entity/Q14308,Parafield Airport,17,,YPPF,,http://www.parafieldairport.com.au/,,138.633055555,-34.793333333
http://www.wikidata.org/entity/Q14312,Ceduna Airport,23,,YCDU,CED,,,133.709722222,-32.130555555
http://www.wikidata.org/entity/Q14315,Cleve Airport,177,,YCEE,CVC,http://www.cleve.sa.gov.au/page.aspx?u=397,,136.505,-33.71
http://www.wikidata.org/entity/Q14316,Coober Pedy Airport,225,,YCBP,CPD,,,134.721666666,-29.04
http://www.wikidata.org/entity/Q206349,Jomo Kenyatta International Airport,5327,06/24,HKJK,NBO,http://kenyaairports.co.ke/jomo-kenyatta-international-airport/,,36.9275,-1.319167
http://www.wikidata.org/entity/Q210559,Oslo Airport,208,01L/19R,ENGM,OSL,http://www.osl.no,,11.083888888,60.202777777
http://www.wikidata.org/entity/Q198036,Uíge Airport,2720,,FNUG,UGO,,,15.027722222,-7.602777777
http://www.wikidata.org/entity/Q201374,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,489,01/19,SACO,COR,https://www.aa2000.com.ar,,-64.20833333,-31.31
http://www.wikidata.org/entity/Q201785,El Dorado International Airport,,13L/31R,SKBO,BOG,https://eldorado.aero/,,-74.146944444,4.701388888
http://www.wikidata.org/entity/Q203395,Old Phu Quoc Airport,23,08/26,VVPQ,PQC,,,103.960833333,10.225833333
http://www.wikidata.org/entity/Q17441,Armidale Airport,1084,,YARM,ARM,http://www.armidale.info/armidalebyair.htm,,151.6177778,-30.531666666
http://www.wikidata.org/entity/Q17443,Ballina Byron Gateway Airport,2,,YBNA,BNK,http://www.ballina.nsw.gov.au/cp_themes/default/page.asp?p=DOC-QHR-23-23-57&c=53,,153.561666666,-28.833333333
http://www.wikidata.org/entity/Q17445,Balranald Airport,63,,YBRN,BZD,,1042093419,143.5677778,-34.615
http://www.wikidata.org/entity/Q17480,Antwerp International Airport,39,11/29,EBAW,ANR,http://www.antwerp-airport.be/,,4.460277777,51.189444444
http://www.wikidata.org/entity/Q17521,Bankstown Airport,8,,YSBK,BWU,http://www.bankstownairport.com.au/,,150.9844444,-33.923333333
http://www.wikidata.org/entity/Q387560,Chengdu Shuangliu International Airport,1625,02L/20R,ZUUU,CTU,http://www.cdairport.com,,103.948333,30.58
http://www.wikidata.org/entity/Q387593,Bismarck Municipal Airport,1661,03/21,KBIS,BIS,http://bismarckairport.com/,,-100.745833333,46.772777777
http://www.wikidata.org/entity/Q387704,Recife/Guararapes–Gilberto Freyre International Airport,10,18/36,SBRF,REC,http://www.infraero.com.br/index.php/br/aeroportos/pernambuco/aeroporto-internacional-do-recife.html,,-34.922777777,-8.126388888
http://www.wikidata.org/entity/Q388563,Northwest Arkansas Regional Airport,392,16/34,KXNA,XNA,http://www.flyxna.com/,,-94.307777777,36.281666666
http://www.wikidata.org/entity/Q60484,Trang Airport,20,,VTST,TST,,,99.616577777,7.508744444
http://www.wikidata.org/entity/Q60879,Allama Iqbal International Airport,698,18L/36R,OPLA,LHE,http://www.lahoreairport.com.pk,,74.4025,31.521388888
http://www.wikidata.org/entity/Q60900,Bandaranaike International Airport,26,04/22,VCBI,CMB,http://www.airport.lk/,,79.883611111,7.181111111
http://www.wikidata.org/entity/Q17907,Barwon Heads Airport,50,09/27,YBRS,,https://barwonheadsairport.com.au,,144.426666666,-38.258333333
http://www.wikidata.org/entity/Q17913,Benalla Airport,173,,YBLA,BLN,,,146.006667,-36.551945
